Designator,Footprint,Quantity,Value,Price (total),
,,,,,
MT1,PEC11R-4215F-S0024,1,PEC11R-4215F-S0024,$0.99,https://www.aliexpress.com/item/1005009189427630.html?spm=a2g0o.cart.0.0.812338daDDh8y3&mp=1&pdp_npi=5%40dis%21USD%21USD%203.97%21USD%200.99%21%21USD%200.99%21%21%21%40211b80e117599117585301213e0e7e%2112000048245096103%21ct%21GR%214330339473%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
"SW1, SW2, SW3",SW_Cherry_MX_1.00u_PCB,3,SW_Push,$2.48 (10-pack),https://www.aliexpress.com/item/1005006255961111.html?spm=a2g0o.cart.0.0.381d38daLCkGfm&mp=1&pdp_npi=5%40dis%21USD%21USD%207.47%21USD%206.67%21%21USD%206.67%21%21%21%40211b80e117599117471398686e0e7e%2112000036489552483%21ct%21GR%214330339473%21%211%210
U1,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,$5.56,https://www.aliexpress.com/item/1005008200917480.html?spm=a2g0o.cart.0.0.1eb938dapIR6oT&mp=1&pdp_npi=5%40dis%21USD%21USD%2010.49%21USD%205.56%21%21USD%205.56%21%21%21%40211b80e117599117721501695e0e7e%2112000044216833796%21ct%21GR%214330339473%21%211%210
PCB,(JLCPCB),1,,$4.47,
EC11 keycap,,1,,$3.14,https://www.aliexpress.com/item/1005008686516265.html?spm=a2g0o.productlist.main.2.1ce07155VtYYcx&algo_pvid=b4dbe8bf-ea15-4c7c-95bc-1793410ab442&algo_exp_id=b4dbe8bf-ea15-4c7c-95bc-1793410ab442-1&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.40%210.99%21%21%2145.53%217.02%21%40211b61d017599119733645622eb1d3%2112000046240039210%21sea%21GR%214330339473%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4b3fd714%3Bm03_new_user%3A-29895%3BpisId%3A5000000187432891&curPageLogUid=9tu5pUb41IlO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008686516265%7C_p_origin_prod%3A
,,,,Total aliexpress (with shipping & vat): ~$ $17.45,
,,,,Total JLCPCB (with shipping & vat): ~$4.47,
,,,,Grand total (with shipping): ~$21.92,
,,,,"I couldn't find keycaps for switches, if you have a link for affordable ones please add them to the grand and specify the link!",
